Sector;region;substance;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Net;Africa;CO2;-1962,244019;-1936,949032;-1825,070048;-1650,283585;-1606,601178;-1501,702794;-1437,773608;-1478,033856;-1359,760751;-1276,527821;-1092,96484;-1134,576874;-1106,000886;-1092,094403;-1058,593795;-975,8552705;-908,6466155;-884,7262674;-962,5557554;-991,9076994;-856,9864549;-366,177342;-413,7913366;-461,2831332;-461,6280624;-405,297168;-629,7305043;-553,8370844;-563,6517253;-605,6585927;-483,3872863
Net;Asia-Pacific Developed;CO2;-70,58320246;-51,28955661;-47,31915925;269,1641636;-102,6228538;-124,7288779;-266,3896699;-359,0281787;-140,3143731;-41,25897189;204,0834344;305,4055255;621,532527;-210,5450247;81,63583085;-328,2145953;216,6050289;155,3665075;-239,4261284;-200,7506266;-340,6767599;795,1768624;682,305599;-224,0208267;-9,071099151;-37,51101284;-339,2380062;164,9776218;67,24490527;-8,158111926;-283,3123827
Net;Eastern Asia;CO2;-1380,810338;-1385,627809;-1338,05028;-1391,008063;-1430,345022;-1424,873264;-1468,820512;-1523,370068;-1420,184244;-1441,137593;-1400,188506;-1504,480333;-1554,088889;-1538,742472;-1552,529937;-1573,860254;-1603,656338;-1540,484471;-1477,221258;-1444,495282;-1419,590854;-1484,397846;-1491,710936;-1481,681675;-1564,212614;-1608,668737;-1517,978867;-1528,723839;-1492,198726;-1502,39328;-1508,130184
Net;Eurasia;CO2;-848,9111019;-767,7817217;-796,0581958;-1148,623501;-1131,184186;-1132,778387;-1272,212884;-1319,173874;-1568,70825;-1259,870101;-1124,367725;-1483,938723;-1491,542578;-1270,569311;-1430,161911;-1454,220431;-1403,095876;-1424,238575;-1416,096053;-1624,742121;-1565,947088;-1489,27601;-1378,023921;-1489,537606;-1367,077263;-1442,352264;-1346,600106;-1453,89272;-1183,726391;-1282,173681;-1332,466086
Net;Europe;CO2;-593,0529228;-722,1527871;-712,6277974;-730,8693296;-687,2529731;-658,8403108;-675,2437612;-665,8367115;-629,7775523;-721,2404552;-574,3342477;-605,4294683;-638,4153864;-628,610582;-610,666519;-563,0425964;-630,1815774;-556,9677277;-569,1069476;-648,0610511;-564,6633071;-539,4884796;-555,1191112;-532,0674637;-517,0696909;-520,0372782;-522,2463836;-510,0856642;-469,4588828;-428,3741996;-478,1719704
Net;Latin America and Caribbean;CO2;934,0193643;979,4906497;927,8950261;942,4355804;1066,052113;1140,019527;1148,136607;1163,206345;1214,813117;1327,716291;1341,481577;1310,082192;1335,746414;1490,059119;1515,960432;1439,537473;577,7709245;615,5558461;404,9133517;371,7120011;407,7918496;113,0455638;204,6066935;176,4372184;179,8545988;115,4022179;213,604944;272,343668;329,0820385;226,7160756;222,4821427
Net;Middle East;CO2;89,8988529;93,97792159;90,24488789;91,10200458;93,96249774;94,12630861;96,31852252;91,36345307;96,33321871;93,63224347;92,63337871;93,29564606;89,39704139;89,78485114;90,07794393;90,05771501;90,06420474;90,50833823;90,07168329;90,16729508;91,42997894;90,77320944;90,46741598;90,85007835;91,56703097;90,71880503;90,95544214;90,80675593;90,44591732;111,229445;94,08907261
Net;North America;CO2;-1721,02121;-1746,638058;-1803,798843;-1772,245042;-1646,991445;-1600,905602;-1813,933805;-1831,502185;-1621,339487;-1790,565164;-1740,867059;-1922,913174;-1883,852323;-1978,635167;-1845,985976;-1892,0056;-2001,066767;-1997,825981;-2167,903173;-2321,024211;-2199,297011;-2141,95503;-2151,089446;-2056,159502;-2114,716136;-1985,724072;-2232,540499;-2194,861338;-2099,312975;-2064,370556;-2180,257141
Net;South-East Asia and developing Pacific;CO2;1200,007689;1195,18064;1183,587011;1100,93494;1026,132405;986,4839069;954,3827349;942,3936163;931,2857526;949,3922455;929,22789;830,1705961;884,1364172;924,0560522;929,613419;896,4610725;1028,801353;1050,434331;981,0225707;878,9875136;957,7209355;1227,119466;1225,816261;1316,319765;1307,803411;1135,957889;1090,64852;1070,566312;1079,502403;1156,259098;1140,761553
Net;Southern Asia;CO2;829,2249634;874,3625847;885,6170637;901,0691804;911,1664472;918,7974818;890,4280904;881,9716278;895,4880423;906,7547921;908,865982;916,502057;1000,528888;1011,208469;1006,192332;1009,80147;1012,694682;1025,071509;1025,064979;1032,842961;1031,058755;933,434197;932,9987361;923,7570856;921,688398;904,7740847;905,2660022;894,6705382;889,997256;884,0272597;873,8163436
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deforestation;Africa;CO2;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1641,983403;1636,717569;1636,717569;1636,717569;1636,717569;1636,717569;1982,624732;1982,624732;1982,624732;1982,624732;1982,624732;1760,911646;1760,911646;1760,911646;1760,911646;1760,911646
Deforestation;Asia-Pacific Developed;CO2;176,8994259;163,1857578;120,2170984;104,7997642;92,1451238;81,75476012;76,85317342;76,44140088;74,76472241;85,05058248;84,08486868;98,30583697;93,17091635;87,37789529;88,33411858;108,3050922;109,3166662;115,011718;80,5876288;69,78475339;74,56998235;60,59243421;56,09675858;62,35785329;62,89328658;52,71180752;51,97225651;49,11232751;52,59846752;40,12593835;42,18862145
Deforestation;Eastern Asia;CO2;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303;2,303
