name,slug,value,date_of_information,ranking,region
"Qatar","qatar","723,582,000","2019",1,"Middle East"
"Singapore","singapore","639,951,000","2019",2,"East and Southeast Asia"
"Bahrain","bahrain","547,976,000","2019",3,"Middle East"
"United Arab Emirates","united-arab-emirates","471,788,000","2019",4,"Middle East"
"Brunei","brunei","415,184,000","2019",5,"East and Southeast Asia"
"Canada","canada","403,700,000","2019",6,"North America"
"Kuwait","kuwait","381,985,000","2019",7,"Middle East"
"Norway","norway","333,833,000","2019",8,"Europe"
"Turkmenistan","turkmenistan","330,507,000","2019",9,"Central Asia"
"Luxembourg","luxembourg","310,068,000","2019",10,"Europe"
"United States","united-states","304,414,000","2019",11,"North America"
"Saudi Arabia","saudi-arabia","296,949,000","2019",12,"Middle East"
"Oman","oman","292,022,000","2019",13,"Middle East"
"Malta","malta","267,739,000","2019",14,"Europe"
"Korea, South","korea-south","242,346,000","2019",15,"East and Southeast Asia"
"Australia","australia","241,004,000","2019",16,"Australia and Oceania"
"Belgium","belgium","234,216,000","2019",17,"Europe"
"Russia","russia","227,898,000","2019",18,"Central Asia"
"Netherlands","netherlands","219,606,000","2019",19,"Europe"
"Finland","finland","216,571,000","2019",20,"Europe"
"Sweden","sweden","210,882,000","2019",21,"Europe"
"New Zealand","new-zealand","186,804,000","2019",22,"Australia and Oceania"
"Kazakhstan","kazakhstan","180,726,000","2019",23,"Central Asia"
"Bermuda","bermuda","176,312,000","2019",24,"North America"
"Cayman Islands","cayman-islands","175,578,000","2019",25,"Central America and the Caribbean"
"Aruba","aruba","174,629,000","2019",26,"Central America and the Caribbean"
"Hong Kong","hong-kong","172,009,000","2019",27,"East and Southeast Asia"
"Austria","austria","171,299,000","2019",28,"Europe"
"Seychelles","seychelles","163,060,000","2019",29,"Africa"
"Czechia","czechia","161,972,000","2019",30,"Europe"
"Germany","germany","161,174,000","2019",31,"Europe"
"Taiwan","taiwan","160,669,000","2019",32,"East and Southeast Asia"
"Guam","guam","152,767,000","2019",33,"Australia and Oceania"
"France","france","151,053,000","2019",34,"Europe"
"Japan","japan","147,107,000","2019",35,"East and Southeast Asia"
"Iran","iran","145,540,000","2019",36,"Middle East"
"Bahamas, The","bahamas-the","140,505,000","2019",37,"Central America and the Caribbean"
"Switzerland","switzerland","137,918,000","2019",38,"Europe"
"Slovenia","slovenia","134,836,000","2019",39,"Europe"
"Cyprus","cyprus","133,920,000","2019",40,"Europe"
"Ireland","ireland","133,674,000","2019",41,"Europe"
"Slovakia","slovakia","129,665,000","2019",42,"Europe"
"Denmark","denmark","124,163,000","2019",43,"Europe"
"Malaysia","malaysia","123,755,000","2019",44,"East and Southeast Asia"
"Spain","spain","122,673,000","2019",45,"Europe"
"United Kingdom","united-kingdom","119,894,000","2019",46,"Europe"
"Israel","israel","113,273,000","2019",47,"Middle East"
"Poland","poland","112,831,000","2019",48,"Europe"
"Italy","italy","112,606,000","2019",49,"Europe"
"Hungary","hungary","108,212,000","2019",50,"Europe"
"Greece","greece","108,022,000","2019",51,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","107,154,000","2019",52,"Central America and the Caribbean"
"Libya","libya","107,118,000","2019",53,"Africa"
"China","china","105,687,000","2019",54,"East and Southeast Asia"
"Bulgaria","bulgaria","103,924,000","2019",55,"Europe"
"Belarus","belarus","102,558,000","2019",56,"Europe"
"Portugal","portugal","101,734,000","2019",57,"Europe"
"Lithuania","lithuania","101,651,000","2019",58,"Europe"
"Bhutan","bhutan","100,135,000","2019",59,"South Asia"
"Panama","panama","98,946,000","2019",60,"Central America and the Caribbean"
"South Africa","south-africa","98,474,000","2019",61,"Africa"
