name,slug,value,date_of_information,ranking,region
"Panama","panama","37.5","2021",1,"Central America and the Caribbean"
"Guyana","guyana","33.52","2021",2,"South America"
"Tajikistan","tajikistan","22.04","2021",3,"Central Asia"
"Nicaragua","nicaragua","21.28","2021",4,"Central America and the Caribbean"
"Mauritius","mauritius","20.88","2021",5,"Africa"
"Ireland","ireland","20.33","2021",6,"Europe"
"Honduras","honduras","20.05","2021",7,"Central America and the Caribbean"
"Botswana","botswana","19.38","2021",8,"Africa"
"Sierra Leone","sierra-leone","17.41","2021",9,"Africa"
"Peru","peru","16.44","2021",10,"South America"
"Liberia","liberia","16.25","2021",11,"Africa"
"Albania","albania","16","2021",12,"Europe"
"Dominican Republic","dominican-republic","15.89","2021",13,"Central America and the Caribbean"
"Eswatini","eswatini","15.38","2021",14,"Africa"
"Grenada","grenada","15.33","2021",15,"Central America and the Caribbean"
"Argentina","argentina","15.26","2021",16,"South America"
"Belize","belize","15.08","2021",17,"Central America and the Caribbean"
"Italy","italy","13.46","2021",18,"Europe"
"Rwanda","rwanda","13.4","2021",19,"Africa"
"Singapore","singapore","13.32","2021",20,"East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","12.46","2021",21,"Middle East"
"Cabo Verde","cabo-verde","11.76","2021",22,"Africa"
"Senegal","senegal","10.91","2021",23,"Africa"
"Saint Lucia","saint-lucia","10.8","2021",24,"Central America and the Caribbean"
"Greece","greece","10.67","2021",25,"Europe"
"Gambia, The","gambia-the","10.4","2021",26,"Africa"
"Bangladesh","bangladesh","10.29","2021",27,"South Asia"
"India","india","10.27","2021",28,"South Asia"
"Costa Rica","costa-rica","9.83","2021",29,"Central America and the Caribbean"
"Colombia","colombia","9.65","2021",30,"South America"
"Bolivia","bolivia","9.56","2021",31,"South America"
"El Salvador","el-salvador","9.47","2021",32,"Central America and the Caribbean"
"Slovenia","slovenia","9.43","2021",33,"Europe"
"Cambodia","cambodia","9.37","2021",34,"East and Southeast Asia"
"United Kingdom","united-kingdom","9.12","2021",35,"Europe"
"Benin","benin","9.12","2021",36,"Africa"
"Croatia","croatia","9.11","2021",37,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","8.87","2021",38,"Europe"
"Burkina Faso","burkina-faso","8.73","2021",39,"Africa"
"Serbia","serbia","8.63","2021",40,"Europe"
"Tunisia","tunisia","8.6","2021",41,"Africa"
"Lithuania","lithuania","8.58","2021",42,"Europe"
"Greenland","greenland","8.56","2019",43,"North America"
"Lesotho","lesotho","8.52","2021",44,"Africa"
"Bahamas, The","bahamas-the","8.51","2021",45,"Central America and the Caribbean"
"Philippines","philippines","8.49","2021",46,"East and Southeast Asia"
"Guatemala","guatemala","8.49","2021",47,"Central America and the Caribbean"
"Uzbekistan","uzbekistan","8.37","2021",48,"Central Asia"
"Antigua and Barbuda","antigua-and-barbuda","8.26","2021",49,"Central America and the Caribbean"
"China","china","8.22","2021",50,"East and Southeast Asia"
"Cyprus","cyprus","8.1","2021",51,"Europe"
"Switzerland","switzerland","7.91","2021",52,"Europe"
"Pakistan","pakistan","7.81","2021",53,"South Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","7.78","2021",54,"Africa"
"Kosovo","kosovo","7.76","2021",55,"Europe"
"Laos","laos","7.61","2021",56,"East and Southeast Asia"
"Algeria","algeria","7.36","2021",57,"Africa"
"Ethiopia","ethiopia","7.26","2021",58,"Africa"
"Kenya","kenya","7.17","2021",59,"Africa"
"Estonia","estonia","7.13","2021",60,"Europe"
"France","france","6.98","2021",61,"Europe"
"Morocco","morocco","6.84","2021",62,"Africa"
"Monaco","monaco","6.8","2015",63,"Europe"
"Austria","austria","6.77","2021",64,"Europe"
"Belarus","belarus","6.7","2021",65,"Europe"
"Hungary","hungary","6.64","2021",66,"Europe"
"Tanzania","tanzania","6.5","2021",67,"Africa"
"Zimbabwe","zimbabwe","6.37","2021",68,"Africa"
"West Bank","west-bank","6.22","2021",69,"Middle East"
"Gaza Strip","gaza-strip","6.22","2021",70,"Middle East"
"Cote d'Ivoire","cote-divoire","6.2","2021",71,"Africa"
"South Africa","south-africa","6.12","2021",72,"Africa"
"Israel","israel","6.05","2021",73,"Middle East"
"Uruguay","uruguay","5.87","2021",74,"South America"
"Sweden","sweden","5.72","2021",75,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","5.7","2021",76,"Central America and the Caribbean"
"Iceland","iceland","5.65","2021",77,"Europe"
"Malaysia","malaysia","5.65","2021",78,"East and Southeast Asia"
"Timor-Leste","timor-leste","5.65","2021",79,"East and Southeast Asia"
"Portugal","portugal","5.63","2021",80,"Europe"
"Sri Lanka","sri-lanka","5.62","2021",81,"South Asia"
"Mexico","mexico","5.44","2021",82,"North America"
"Eritrea","eritrea","5.4","2017",83,"Africa"
"Togo","togo","5.32","2020",84,"Africa"
"Denmark","denmark","5.25","2021",85,"Europe"
"Macau","macau","5.17","2021",86,"East and Southeast Asia"
"Kazakhstan","kazakhstan","5.1","2021",87,"Central Asia"
"Korea, South","korea-south","5.09","2021",88,"East and Southeast Asia"
"Chile","chile","5.06","2021",89,"South America"
"Dominica","dominica","5.01","2021",90,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","5","2021",91,"Central America and the Caribbean"
"Netherlands","netherlands","4.93","2021",92,"Europe"
"Vanuatu","vanuatu","4.92","2018",93,"Australia and Oceania"
"Russia","russia","4.9","2021",94,"Central Asia"
"Canada","canada","4.74","2021",95,"North America"
"Paraguay","paraguay","4.69","2021",96,"South America"
"Maldives","maldives","4.51","2021",97,"South Asia"
"Nepal","nepal","4.51","2021",98,"South Asia"
"Brazil","brazil","4.48","2021",99,"South America"
"Zambia","zambia","4.18","2021",100,"Africa"
"Niger","niger","4.09","2021",101,"Africa"
"Romania","romania","4.07","2021",102,"Europe"
"Spain","spain","4.03","2021",103,"Europe"
"Anguilla","anguilla","4","2017",104,"Central America and the Caribbean"
"Taiwan","taiwan","3.9","2017",105,"East and Southeast Asia"
"Guinea","guinea","3.9","2021",106,"Africa"
"Seychelles","seychelles","3.63","2021",107,"Africa"
"Germany","germany","3.61","2021",108,"Europe"
